scientific_name,latitude,longitude,locality_name,locality_type,presence_status,water_body,water_body_type,coordinate_precision,year_collected,collector,source_citation,is_sensitive,notes
Arius madagascariensis,-16.309444,46.816389,"Lake Ravelobe, across from Ampijoroa forestry station",collection_record,present,,lake,exact,,"JS Sparks, K Riseng",GBIF: UMMZ 238057,false,
Arius madagascariensis,-16.150000,45.833333,"GBIF record at -16.150, 45.833",collection_record,present,,,exact,1959,Centre Technique Forestier Tropical de Madagascar,GBIF: RBINS-Scientific Heritage 16996,false,
Arius madagascariensis,-16.093889,45.860278,Lake Kinkony,collection_record,present,,lake,exact,1994,"JS Sparks, K Riseng",GBIF: UMMZ 238056,false,
Awaous aeneofuscus,-21.258889,47.421389,"Namorona River, Ranomafana Natl. Park (above large waterfall)",collection_record,present,,river,exact,,"JS Sparks, K Riseng & class",GBIF: UMMZ 236537,false,
Awaous aeneofuscus,-20.549999,46.799999,Ambatofinandrhana,collection_record,present,,,exact,1911,P.A. Methuen,GBIF: SAIAB 45427,false,
Awaous aeneofuscus,-20.391188,44.730145,Morondava River,collection_record,present,,river,exact,,PN Reinthal,GBIF: UMMZ 238317,false,
Awaous aeneofuscus,-20.311944,47.736944,Near ambodivoar village,collection_record,present,,,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82314,false,
Awaous aeneofuscus,-20.091944,48.374444,River pools below 'hotel',collection_record,present,,river,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82783,false,
Awaous aeneofuscus,-20.079167,48.406667,small stream along road to coast,collection_record,present,,stream,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82785,false,
Awaous aeneofuscus,-20.067500,48.153611,Near Marolambo town,collection_record,present,,,exact,2005,Roger Bills,GBIF: SAIAB 187825,false,
Awaous aeneofuscus,-20.049722,48.127778,Tributary at confluence with Nosivolo in Maralambo,collection_record,present,,,exact,2005,Roger Bills,GBIF: SAIAB 187833,false,
Awaous aeneofuscus,-19.920000,48.830000,"Pangalanes north of River Mangoro. Mahanoro Town, behind Hotel de la Pangalane.",collection_record,present,,river,exact,1988,M. Stiassny,GBIF: USNM USNM 301503,false,
Awaous aeneofuscus,-19.916667,48.833333,"PANGALANES, NORTH OF RIVER MANGORO, MAHANORO TOWN BEHIND HOTEL DE LA PANGALANE",collection_record,present,,river,exact,1988,"M.L.J. STIASSNY, P.N. REINTHAL",GBIF: FishBase AMNH 88093,false,
Awaous aeneofuscus,-18.954444,49.109444,"GBIF record at -18.954, 49.109",collection_record,present,,,exact,1967,Centre Technique Forestier Tropical de Madagascar,GBIF: RBINS-Scientific Heritage BE-RBINS-VZ-Pisces-17009,false,
Awaous aeneofuscus,-18.230900,49.321200,211+050,collection_record,present,,,exact,2007,J. Rall,GBIF: SAIAB 191372,false,
Awaous aeneofuscus,-15.833611,48.714444,Ambomboa River (near where it flows into Mangarahara River),collection_record,present,,river,exact,1994,"JS Sparks, K Riseng",GBIF: UMMZ 236539,false,
Awaous aeneofuscus,-15.309722,50.235556,"Ankavanana River (near Project Masoala site 1005), Masoala Peninsula",collection_record,present,,river,exact,1994,"JS Sparks, KJ Riseng & guides",GBIF: UMMZ 234841,false,
Awaous aeneofuscus,-15.303889,50.263056,"Ankavanana River, Masoala Peninsula",collection_record,present,,river,exact,1994,"JS Sparks, KJ Riseng",GBIF: UMMZ 234845,false,
Awaous aeneofuscus,-15.295000,50.354167,"Onive River, camping on sandy island ca. 2 hour walk from Antanandavahely",collection_record,present,,river,exact,1994,"P Reinthal, JS Sparks",GBIF: UMMZ 234856,false,
Awaous aeneofuscus,-14.872222,48.247778,"Bora Reserve, Bemahavony River/Stream (runs into Anjingo River)",collection_record,present,,stream,exact,1994,JS Sparks and K Riseng,GBIF: UMMZ 243673,false,
Awaous aeneofuscus,-14.844722,48.243889,"Anjingo River, sampled upstream and downstream of bridge",collection_record,present,,stream,exact,1994,"JS Sparks, K Riseng",GBIF: UMMZ 244628,false,
Awaous aeneofuscus,-14.300000,49.550000,"DIEGO-SUAREZ, BANKS OF THE MANANTENINA RIVER, AT THE SOUTHEASTERN BOUNDARY OF THE RESERVE NATURELLE INTEGRALE DE MAROJEJY, ca. 28 KILOMETERS NORTHEAST OF*",collection_record,present,,river,exact,,FISHERWOMEN/M.L.J. STIASSNY,GBIF: FishBase AMNH 226655,false,
Awaous aeneofuscus,-14.020500,48.160180,"GBIF record at -14.021, 48.160",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR0678",false,
Awaous aeneofuscus,-14.020000,48.160000,Ankaramihely,collection_record,present,,,exact,,,GBIF:  RDR0678,false,
Awaous aeneofuscus,-13.890000,49.930000,Anandray,collection_record,present,,,exact,,,GBIF:  RDR1121,false,
Awaous aeneofuscus,-13.886040,49.930110,"GBIF record at -13.886, 49.930",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI RDR1121",false,
Awaous aeneofuscus,-13.314210,48.258990,Nosy Be Island,collection_record,present,,,exact,1959,Cherbonnier Gustave (Dr.),GBIF: RBINS-Scientific Heritage BE-RBINS-VZ-Pisces-17126,false,
Awaous aeneofuscus,-13.212778,49.176111,"Andranomaloto Riviere, trib. of Mananjeba Riviere",collection_record,present,,river,exact,1996,"JS Sparks, K Riseng",GBIF: UMMZ 236540,false,
Bathygobius fuscus,-23.420605,43.656207,"Tulear, Dead fringing reef near mouth of Firehana River",collection_record,present,,river,exact,1964,J Bardach & LA Mauge,GBIF: UMMZ 186062,false,
Bathygobius fuscus,-15.593056,49.977778,Ambanizana River (tavy camp),collection_record,present,,river,exact,1994,"P Reinthal, JS Sparks",GBIF: UMMZ 234823,false,
Bathygobius fuscus,-13.689400,48.174200,"Small stream entering Baie D'Ampasidava, Madagascar. (near Marokibahi).",collection_record,present,,stream,exact,1964,,GBIF: USNM USNM 340374,false,
Bathygobius fuscus,-13.477200,48.230000,"Nossi-Be, Madagascar",collection_record,present,,,exact,1964,,GBIF: USNM USNM 340370,false,
Bathygobius fuscus,-13.430600,48.359700,Nossi Be Madagascar Ambario Telo,collection_record,present,,,exact,1964,,GBIF: USNM USNM 339986,false,
Bathygobius fuscus,-13.405000,48.225000,"Ambatomboka or Crater Point, rocky tide pools at entrance to crater Nossi-Be, Madagascar",collection_record,present,,,exact,1964,,GBIF: USNM USNM 340000,false,
Bathygobius fuscus,-13.401400,48.212500,"Crater Point, rocky tide pools, Nossi Be Madagascar",collection_record,present,,,exact,1964,,GBIF: USNM USNM 340369,false,
Bathygobius fuscus,-13.314210,48.258990,Nosy Be Island,collection_record,present,,,exact,1959,Cherbonnier Gustave (Dr.),GBIF: RBINS-Scientific Heritage BE-RBINS-VZ-Pisces-17127,false,
Bedotia,-23.032425,47.735141,"Manombo Reserve, southeastern Madagascar",collection_record,present,,,exact,,PN Reinthal,GBIF: UMMZ 239909,false,[Genus-level ID only; species unresolved]
Bedotia,-23.030000,47.730000,Manombo Camp,collection_record,present,,,exact,,,GBIF:  ZCMV406,false,[Genus-level ID only; species unresolved]
Bedotia,-23.028320,47.731530,"GBIF record at -23.028, 47.732",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI ZCMV404",false,[Genus-level ID only; species unresolved]
Bedotia,-22.783333,47.175833,Vahifito Riviere (West of Vevembe Camp Area),collection_record,present,,river,exact,1996,"JS Sparks, KJ Riseng",GBIF: UMMZ 244515,false,[Genus-level ID only; species unresolved]
Bedotia,-22.407500,47.371111,Karianga Camp Stream (small stream near camp),collection_record,present,,stream,exact,1996,"JS Sparks, KJ Riseng",GBIF: UMMZ 244514,false,[Genus-level ID only; species unresolved]
Bedotia,-21.379253,47.867323,Kinjavat (sp.?),collection_record,present,,,exact,1994,P.N. Reinthal ?,GBIF: UMMZ 249172,false,[Genus-level ID only; species unresolved]
Bedotia,-21.353580,47.607780,"GBIF record at -21.354, 47.608",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI ZCMV397",false,[Genus-level ID only; species unresolved]
Bedotia,-21.350000,47.610000,"road Ifanadiana-Tolongoina, km 5-7",collection_record,present,,,exact,,,GBIF:  ZCMV395,false,[Genus-level ID only; species unresolved]
Bedotia,-21.333333,47.716667,"Sakafiana River, trib. of Faravory River, 7 km from Antanambao (east) at bridge corssing road **",collection_record,present,,river,exact,1988,MLJ Stiassny,GBIF: UMMZ 217681,false,[Genus-level ID only; species unresolved]
Bedotia,-21.288333,47.462222,"Ranomafana National Park, Site 3",collection_record,present,,,exact,1994,"JS Sparks, KJ Riseng",GBIF: UMMZ 249170,false,[Genus-level ID only; species unresolved]
Bedotia,-21.270000,47.620000,"River Fanolafana (tributary of River Faravory), 7 kilometers from Ifanidiana along dirt track to bridge, slow current over gravel and sand, reeds fringing",collection_record,present,,river,exact,1988,M. Stiassny & P. Reinthal,GBIF: USNM USNM 301513,false,[Genus-level ID only; species unresolved]
Bedotia,-21.265283,47.461424,"Ranomafana (Namorona River), 1 km down from Ranomafana twon",collection_record,present,,river,exact,1993,Pascal (J.S. Sparks),GBIF: UMMZ 249174,false,[Genus-level ID only; species unresolved]
Bedotia,-21.262663,47.454064,Namorona River (Ranomafana town at the Thermal Hotel),collection_record,present,,river,exact,1993,Pascal Rabeson,GBIF: UMMZ 236574,false,[Genus-level ID only; species unresolved]
Bedotia,-21.253310,47.422994,"Ranomafana, waterfall below (town?)",collection_record,present,,,exact,1994,P.N. Reinthal,GBIF: UMMZ 249173,false,[Genus-level ID only; species unresolved]
Bedotia,-21.250000,47.450000,"Town of Ranomafana, River Namorona mainstream behind Hotely Ravenal, beside wate",collection_record,present,,cave_system,exact,1988,"M. L. J. Stiassny, P. N. Reinthal",GBIF: FMNH 99280,false,[Genus-level ID only; species unresolved]
Bedotia,-21.184722,48.365833,"Lake Andrasondrano, by Pangalanes Canal",collection_record,present,,lake,exact,1994,"JS Sparks, K Riseng",GBIF: UMMZ 236577,false,[Genus-level ID only; species unresolved]
Bedotia,-20.331944,47.899167,Tsarakianja village,collection_record,present,,,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82318,false,[Genus-level ID only; species unresolved]
Bedotia,-20.286111,47.920556,On footpath downstream from Tsarakanja village,collection_record,present,,stream,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82764,false,[Genus-level ID only; species unresolved]
Bedotia,-20.207222,48.066944,Betampona beach,collection_record,present,,,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82768,false,[Genus-level ID only; species unresolved]
Bedotia,-20.195833,48.063056,Downstream from Betampona village,collection_record,present,,stream,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82811,false,[Genus-level ID only; species unresolved]
Bedotia,-20.138611,48.036111,Maintiambato stream,collection_record,present,,stream,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82769,false,[Genus-level ID only; species unresolved]
Bedotia,-20.079167,48.406667,small stream along road to coast,collection_record,present,,stream,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82784,false,[Genus-level ID only; species unresolved]
Bedotia,-20.071111,48.150556,Sahanao River about 2km above N. confluence,collection_record,present,,river,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82776,false,[Genus-level ID only; species unresolved]
Bedotia,-20.050000,48.133000,ambatomasina,collection_record,present,,,exact,1990,stiassny;reinthal;co,GBIF: MNHN 2011-0051,false,[Genus-level ID only; species unresolved]
Bedotia,-20.049722,48.127778,Tributary at confluence with Nosivolo in Maralambo,collection_record,present,,,exact,2005,Roger Bills,GBIF: SAIAB 187832,false,[Genus-level ID only; species unresolved]
Bedotia,-19.033056,48.936389,Road up to Moramarga,collection_record,present,,,exact,2007,Roger Bills; T. Raminosoa,GBIF: SAIAB 82795,false,[Genus-level ID only; species unresolved]
Bedotia,-18.960959,48.840500,"Namorona River, Ranomafana N.P., behind Scott's house",collection_record,present,,river,exact,,,GBIF: UMMZ 238445,false,[Genus-level ID only; species unresolved]
Bedotia,-18.946417,48.678917,Access road 6.2,collection_record,present,,,exact,2007,J. Rall,GBIF: SAIAB 191504,false,[Genus-level ID only; species unresolved]
Bedotia,-18.935000,48.411667,"creek at border of Andasibe NP / Indri indir protection area, at end of railway from Tananarivo",collection_record,present,,stream,exact,1988,,GBIF: SNSB-ZSM ZSM-Pis-027511 / 532851 / 384439,false,[Genus-level ID only; species unresolved]
Bedotia,-18.934790,48.769920,"RM114EF,PPL Endemic fish",collection_record,present,,,exact,2011,J. Rall,GBIF: SAIAB 191432,false,[Genus-level ID only; species unresolved]
Bedotia,-18.934460,48.767140,"71+020 US, PPL Survey 2008",collection_record,present,,,exact,2008,J. Rall,GBIF: SAIAB 191425,false,[Genus-level ID only; species unresolved]
Bedotia,-18.929889,48.684472,Access Rd. 6B(Ampasimbe),collection_record,present,,,exact,2007,J. Rall,GBIF: SAIAB 191383,false,[Genus-level ID only; species unresolved]
Bedotia,-18.927580,48.720150,63+160,collection_record,present,,,exact,2007,J. Rall,GBIF: SAIAB 191380,false,[Genus-level ID only; species unresolved]
Bedotia,-18.917651,48.433247,"Ambotovy area; Torotorofotsy [wetlands], along railroad",collection_record,present,,wetland,exact,1997,PN Reinthal,GBIF: UMMZ 240109,false,[Genus-level ID only; species unresolved]
Bedotia,-18.914580,48.632060,"48+560(RM113),Routine Monitoring PPL.",collection_record,present,,,exact,2011,J. Rall,GBIF: SAIAB 191437,false,[Genus-level ID only; species unresolved]
Bedotia,-18.841330,48.539360,Rianila Regional,collection_record,present,,,exact,2011,J. Rall,GBIF: SAIAB 190023,false,[Genus-level ID only; species unresolved]
Bedotia,-18.813010,48.823860,Rianila Regional,collection_record,present,,,exact,2007,J. Rall,GBIF: SAIAB 191361,false,[Genus-level ID only; species unresolved]
Bedotia,-18.810640,48.980330,"GBIF record at -18.811, 48.980",collection_record,present,,,exact,,,"GBIF: Mined from GenBank, NCBI PSG327",false,[Genus-level ID only; species unresolved]
Bedotia,-18.720170,48.722600,Ampasimba(RR125),collection_record,present,,,exact,2011,J. Rall,GBIF: SAIAB 191436,false,[Genus-level ID only; species unresolved]
Bedotia,-18.685278,48.771667,"Raniala Regional,Amboditovolo",collection_record,present,,,exact,2012,J. Rall,GBIF: SAIAB 191664,false,[Genus-level ID only; species unresolved]
Bedotia,-18.625900,48.613190,"Betoho(RR235B),Ranilia Regional",collection_record,present,,,exact,2011,J. Rall,GBIF: SAIAB 191434,false,[Genus-level ID only; species unresolved]
Bedotia,-18.598410,49.070870,"147+160,PPL Survey 2008",collection_record,present,,,exact,2008,J. Rall,GBIF: SAIAB 191444,false,[Genus-level ID only; species unresolved]
Bedotia,-18.531980,49.074020,153+760,collection_record,present,,,exact,2007,J. Rall,GBIF: SAIAB 191369,false,[Genus-level ID only; species unresolved]
Bedotia,-18.513056,48.708333,"Raniala Regional,Ambodialampona",collection_record,present,,,exact,2012,J. Rall,GBIF: SAIAB 191663,false,[Genus-level ID only; species unresolved]
Bedotia,-18.479960,49.101760,"164+100,PPL Survey 2008",collection_record,present,,,exact,2008,J. Rall,GBIF: SAIAB 191445,false,[Genus-level ID only; species unresolved]
Bedotia,-18.467278,48.775611,"Madagascar pipeline project,Beraoka",collection_record,present,,,exact,2011,J. Rall,GBIF: SAIAB 191665,false,[Genus-level ID only; species unresolved]
Bedotia,-18.451722,48.827333,"Madagascar pipeline project,Betaolandambo",collection_record,present,,,exact,2011,J. Rall,GBIF: SAIAB 191669,false,[Genus-level ID only; species unresolved]
Bedotia,-18.449028,48.849389,"Madagascar pipeline project,Sahatsara",collection_record,present,,,exact,2011,J. Rall,GBIF: SAIAB 191673,false,[Genus-level ID only; species unresolved]
Bedotia,-18.448389,48.751611,"Madagascar pipeline project,Sahamamy",collection_record,present,,,exact,2011,J. Rall,GBIF: SAIAB 191671,false,[Genus-level ID only; species unresolved]
Bedotia,-18.305020,49.257460,"198+310DS,PPLSuvery 2008",collection_record,present,,,exact,2008,J. Rall,GBIF: SAIAB 191617,false,[Genus-level ID only; species unresolved]
Bedotia,-18.205190,49.342450,"Plant site DS,PPL Survey 2008",collection_record,present,,,exact,2008,J. Rall,GBIF: SAIAB 191447,false,[Genus-level ID only; species unresolved]
Bedotia,-17.944000,49.279000,ambodiriana,collection_record,present,,,exact,1999,loiselle,GBIF: MNHN 2011-0052,false,[Genus-level ID only; species unresolved]
Bedotia albomarginata,-22.720000,47.200000,Upper Mananara/Rienana drainages near Vondrozo (approx),literature_record,present,,stream,approximate,,,Sparks & Rush 2005,false,No GBIF coords exist. Approximate.
Bedotia alveyi,-15.290000,49.617330,"small stream just north of Ambodivoankongy, tributary of Antainambalana River, S",collection_record,present,,stream,exact,2003,"J. S. Sparks, W. L. Smith, K. L. Tang",GBIF: FMNH 118296,false,
Bedotia geayi,-21.366667,47.800000,"RIVER BOTELY, ON WAY TO KIANJAVATO",collection_record,present,,river,exact,1988,"M.L.J. STIASSNY, P.N. REINTHAL",GBIF: FishBase AMNH 88015,false,
Bedotia geayi,-21.350000,47.750000,"ANDRANOMAINTSO RIVER, SEVERAL KILOMETERS EAST OF AMBODIRAFIA ON ROUTE 25, ON THE ROAD FROM RANOMAFANA TO MANANJARY, SMALL RIVER",collection_record,present,,river,exact,1998,"P.V. LOISELLE, A. SAUNDERS",GBIF: FishBase AMNH 229533,false,
Bedotia geayi,-21.333333,47.700000,"AMBODIRAFIA VILLAGE, SEVERAL KILOMETERS EAST OF KIONJAVATO ON ROUTE 25, ON THE ROAD FROM RANOMAFANA TO MANANJARY, SMALL STREAM",collection_record,present,,stream,exact,1998,"P.V. LOISELLE, A. SAUNDERS",GBIF: FishBase AMNH 229532,false,
Bedotia geayi,-21.250000,47.450000,"Town of Ranomafana, River Namorona, in mainstrean behind Hotel Ravenal.",collection_record,present,,cave_system,exact,1988,M. Stiassny & P. Reinthal,GBIF: USNM USNM 301519,false,
Bedotia geayi,-21.166667,48.100000,AMBATOMAINTY CREEK NEAR AMBALADARA VILLAGE,collection_record,present,,stream,exact,1999,"A.R. SAUNDERS, P.V. LOISELLE",GBIF: FishBase AMNH 231356,false,
Bedotia geayi,-18.817000,49.150000,ambila-lemaitso,collection_record,present,,,exact,,kiener,GBIF: MNHN 1960-0239,false,
Bedotia geayi,-17.733333,48.975000,"Namarafana River, trib. of Onibe River (Zahamena Reserve); alt. 420 m  *",collection_record,present,,river,exact,1994,CJ Raxworthy,GBIF: UMMZ 223575,false,
Bedotia leucopteron,-18.941000,48.684000,Sandrakatrana Stream at Ampasimbe (type),type_locality,present,Sandrakatrana Stream,stream,exact,2000,P.V. Loiselle,Loiselle & Rodriguez 2007,false,126m. Holotype AMNH 231263
Bedotia longianalis,-17.633333,49.466667,"ANDRANOTSARA RIVER, SMALL STREAM NORTH OF MAHAVELONA ON TOAMASINA-FENOARIVO ROAD",collection_record,present,,stream,exact,1996,P.V. LOISELLE,GBIF: FishBase AMNH 231434,false,
Bedotia longianalis,-17.538100,49.460300,"Blackwater swamp by RN-5, S of Mahambo (orange-finned form)",collection_record,present,,wetland,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,Heavily tannin-stained
Bedotia longianalis,-17.533333,49.466667,"SWAMP POOL BETWEEN KILOMETER 77 AND KILOMETER 76 MARKERS ON ROUTE N-5, JUST SOUTH OF MAHAMBO",collection_record,present,,wetland,exact,1997,"P.V. LOISELLE, LOCAL RESIDENTS",GBIF: FishBase AMNH 229589,false,
Bedotia longianalis,-17.416667,49.433333,"ANDRANOVONTRO RIVER, SMALL STREAM TRIBUTARY TO THE ASIRITA RIVER, JUST NORTH OF MAHAMBO ON TOAMASINA-FENCARIVO ROAD",collection_record,present,,stream,exact,1996,P.V. LOISELLE,GBIF: FishBase AMNH 231427,false,
Bedotia longianalis,-17.283333,49.400000,SMALL STREAM NEAR VOHIBAO VILLAGE ON FENOARIVO-IVONGO ROAD,collection_record,present,,stream,exact,1996,"P.V. LOISELLE, LOCAL FISHERMEN",GBIF: FishBase AMNH 231430,false,
Bedotia longianalis,-17.066667,49.516667,"MANAKANTAFONA CREEK, NEAR VILLAGE OF SAME NAME",collection_record,present,,stream,exact,1997,"P.V. LOISELLE, LOCAL RESIDENTS",GBIF: FishBase AMNH 229590,false,
Bedotia longianalis,-17.033333,49.533333,"SAOMBY CREEK, TRIBUTARY OF THE MANANKINONY RIVER AT VILLAGE OF SAME NAME",collection_record,present,,stream,exact,1997,"P.V. LOISELLE, LOCAL RESIDENTS",GBIF: FishBase AMNH 229591,false,
Bedotia longianalis,-17.030333,49.528667,"Saomby Creek, tributary of Manankinony River",collection_record,present,,stream,exact,1997,PV Loisella & party,GBIF: SIO 01-31,false,
Bedotia longianalis,-17.000000,49.866667,"UNNAMED DIRECT TRIBUTARY OF ANTSAHA RIVER, ca. 0.5 KILOMETERS EAST OF TOWN BETOHA AT ROAD CROSSING, EAST OF AMBODIFOTATRA",collection_record,present,,river,exact,1998,"K.H. BARNES, J.P. BENSTEAD",GBIF: FishBase AMNH 228063,false,
Bedotia longianalis,-16.959400,49.580800,"Menantany Stream, bridge of RN-5 (yellow-finned form)",collection_record,present,Menantany Stream,stream,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,31m asl
Bedotia longianalis,-16.950000,49.583333,MENATORY CREEK NEAR VILLAGE OF SAME NAME,collection_record,present,,stream,exact,1997,"P.V. LOISELLE, LOCAL RESIDENTS",GBIF: FishBase AMNH 229587,false,
Bedotia longianalis,-16.916667,49.866667,"SOUTHERN MANANDRIANA RIVER, ca. 100-200 METERS UPSTREAM FROM MOUTH",collection_record,present,,stream,exact,1998,"K.H. BARNES, J.P. BENSTEAD",GBIF: FishBase AMNH 228059,false,
Bedotia longianalis,-16.900000,49.916667,"MAROYAMPENY CREEK NEAR ANATIAFY VILLAGE, LARGE POOL",collection_record,present,,stream,exact,1998,"P.V. LOISELLE, A. SAUNDERS",GBIF: FishBase AMNH 229541,false,
Bedotia longianalis,-16.883333,49.883333,"SAHAVAMBA RIVER, ca. 30 METERS UPSTREAM FROM ROAD CROSSING, 1 KILOMETER SOUTH OF LONKINTSY TOWN",collection_record,present,,stream,exact,1998,"K.H. BARNES, J.P. BENSTEAD",GBIF: FishBase AMNH 228060,false,
Bedotia longianalis,-16.850000,49.916667,"MANANDNANA RIVER, ca. 500 METERS  NORTHEAST OF ANKIRIHISY VILLAGE",collection_record,present,,river,exact,1998,P.V. LOISELLE,GBIF: FishBase AMNH 229542,false,
Bedotia longianalis,-16.850000,49.950000,"AMPOMESANA CREEK NEAR AMBOHIDENA VILLAGE, SMALL BROOK INTO LARGER CREEK",collection_record,present,,stream,exact,1998,"P.V. LOISELLE, A. SAUNDERS",GBIF: FishBase AMNH 229539,false,
Bedotia longianalis,-16.816667,49.933333,"SMALL CREEK FLOWING INTO IAMPANA RIVER, ca. 500 METERS EAST OF VILLAGE OF AMBATOROA",collection_record,present,,stream,exact,,P.V. LOISELLE,GBIF: FishBase AMNH 229536,false,
Bedotia longianalis,-16.733333,50.000000,LOWER REACHES OF TRIBUTARY OF ANDRANOBE RIVER AT AMBODIA TAFANA VILLAGE,collection_record,present,,river,exact,1998,P.V. LOISELLE,GBIF: FishBase AMNH 229538,false,
Bedotia longianalis,-16.716667,50.016667,"ANDRANOMARTY CREEK, ca. 700 METERS NORTHEAST OF AMBODIA RAFANA VILLAGE",collection_record,present,,stream,exact,1998,P.V. LOISELLE,GBIF: FishBase AMNH 229537,false,
Bedotia longianalis,-15.933333,49.916667,"AMBAHITSINONY CREEK, NEAR AMBAHITSINONY VILLAGE",collection_record,present,,stream,exact,1998,P.V. LOISELLE,GBIF: FishBase AMNH 229543,false,
Bedotia madagascariensis,-21.366667,47.866667,"KINJOVATO, RIVER FOTOBOHITRA, STREAM THROUGH COFFEE PLANTATION",collection_record,present,,stream,exact,1988,"M.L.J. STIASSNY, P.N. REINTHAL",GBIF: FishBase AMNH 88073,false,
Bedotia madagascariensis,-21.350000,47.750000,"RIVER VINTANONA AT VILLAGE ANDRANOMAITSO, SMALL STREAM",collection_record,present,,stream,exact,1988,"M.L.J. STIASSNY, P.N. REINTHAL",GBIF: FishBase AMNH 88014,false,
Bedotia madagascariensis,-19.130000,49.910000,Andriana,collection_record,present,,,exact,,,GBIF:  RDR0093,false,
Bedotia madagascariensis,-18.945528,48.844917,Access Rd 11 Colas,collection_record,present,,,exact,2007,J. Rall,GBIF: SAIAB 191304,false,
Bedotia madagascariensis,-18.924890,48.767160,72+880,collection_record,present,,,exact,2007,J. Rall,GBIF: SAIAB 191387,false,
Bedotia madagascariensis,-18.816667,49.033333,AVOLO RIVER ON N-2 WEST OF BRICKAVILLE BETWEEN KILOMETER 8 AND KILOMETER 7 MARKERS,collection_record,present,,river,exact,1997,"P.V. LOISELLE, LOCAL RESIDENTS",GBIF: FishBase AMNH 229592,false,
Bedotia madagascariensis,-18.810000,48.980000,Sahafina,collection_record,present,,,exact,,,GBIF:  PSG329,false,
Bedotia madagascariensis,-18.791530,48.879170,103+970,collection_record,present,,,exact,2007,J. Rall,GBIF: SAIAB 191359,false,
Bedotia madagascariensis,-18.583720,49.071600,149+320,collection_record,present,,,exact,2007,J. Rall,GBIF: SAIAB 191368,false,
Bedotia madagascariensis,-18.408490,49.154930,176+700,collection_record,present,,,exact,2007,J. Rall,GBIF: SAIAB 191309,false,
