scientific_name,latitude,longitude,locality_name,locality_type,presence_status,water_body,water_body_type,coordinate_precision,year_collected,collector,source_citation,is_sensitive,notes,data_source
Bedotia geayi,-21.333333,47.700000,"AMBODIRAFIA VILLAGE, SEVERAL KILOMETERS EAST OF KIONJAVATO ON ROUTE 25, ON THE ROAD FROM RANOMAFANA TO MANANJARY, SMALL STREAM",collection_record,present,,stream,exact,1998,"P.V. LOISELLE, A. SAUNDERS",GBIF: FishBase AMNH 229532,false,,
Bedotia geayi,-21.250000,47.450000,"Town of Ranomafana, River Namorona, in mainstrean behind Hotel Ravenal.",collection_record,present,,cave_system,exact,1988,M. Stiassny & P. Reinthal,GBIF: USNM USNM 301519,false,,
Bedotia geayi,-21.166667,48.100000,AMBATOMAINTY CREEK NEAR AMBALADARA VILLAGE,collection_record,present,,stream,exact,1999,"A.R. SAUNDERS, P.V. LOISELLE",GBIF: FishBase AMNH 231356,false,,
Bedotia geayi,-18.817000,49.150000,ambila-lemaitso,collection_record,present,,,exact,,kiener,GBIF: MNHN 1960-0239,false,,
Bedotia geayi,-17.733333,48.975000,"Namarafana River, trib. of Onibe River (Zahamena Reserve); alt. 420 m  *",collection_record,present,,river,exact,1994,CJ Raxworthy,GBIF: UMMZ 223575,false,,
Bedotia leucopteron,-18.941000,48.684000,Sandrakatrana Stream at Ampasimbe (type),type_locality,present,Sandrakatrana Stream,stream,exact,2000,P.V. Loiselle,Loiselle & Rodriguez 2007,false,126m. Holotype AMNH 231263,
Bedotia longianalis,-17.633333,49.466667,"ANDRANOTSARA RIVER, SMALL STREAM NORTH OF MAHAVELONA ON TOAMASINA-FENOARIVO ROAD",collection_record,present,,stream,exact,1996,P.V. LOISELLE,GBIF: FishBase AMNH 231434,false,,
Bedotia longianalis,-17.538100,49.460300,"Blackwater swamp by RN-5, S of Mahambo (orange-finned form)",collection_record,present,,wetland,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,Heavily tannin-stained,
Bedotia longianalis,-17.533333,49.466667,"SWAMP POOL BETWEEN KILOMETER 77 AND KILOMETER 76 MARKERS ON ROUTE N-5, JUST SOUTH OF MAHAMBO",collection_record,present,,wetland,exact,1997,"P.V. LOISELLE, LOCAL RESIDENTS",GBIF: FishBase AMNH 229589,false,,
Bedotia longianalis,-17.416667,49.433333,"ANDRANOVONTRO RIVER, SMALL STREAM TRIBUTARY TO THE ASIRITA RIVER, JUST NORTH OF MAHAMBO ON TOAMASINA-FENCARIVO ROAD",collection_record,present,,stream,exact,1996,P.V. LOISELLE,GBIF: FishBase AMNH 231427,false,,
Bedotia longianalis,-17.283333,49.400000,SMALL STREAM NEAR VOHIBAO VILLAGE ON FENOARIVO-IVONGO ROAD,collection_record,present,,stream,exact,1996,"P.V. LOISELLE, LOCAL FISHERMEN",GBIF: FishBase AMNH 231430,false,,
Bedotia longianalis,-17.066667,49.516667,"MANAKANTAFONA CREEK, NEAR VILLAGE OF SAME NAME",collection_record,present,,stream,exact,1997,"P.V. LOISELLE, LOCAL RESIDENTS",GBIF: FishBase AMNH 229590,false,,
Bedotia longianalis,-17.033333,49.533333,"SAOMBY CREEK, TRIBUTARY OF THE MANANKINONY RIVER AT VILLAGE OF SAME NAME",collection_record,present,,stream,exact,1997,"P.V. LOISELLE, LOCAL RESIDENTS",GBIF: FishBase AMNH 229591,false,,
Bedotia longianalis,-17.030333,49.528667,"Saomby Creek, tributary of Manankinony River",collection_record,present,,stream,exact,1997,PV Loisella & party,GBIF: SIO 01-31,false,,
Bedotia longianalis,-17.000000,49.866667,"UNNAMED DIRECT TRIBUTARY OF ANTSAHA RIVER, ca. 0.5 KILOMETERS EAST OF TOWN BETOHA AT ROAD CROSSING, EAST OF AMBODIFOTATRA",collection_record,present,,river,exact,1998,"K.H. BARNES, J.P. BENSTEAD",GBIF: FishBase AMNH 228063,false,,
Bedotia longianalis,-16.959400,49.580800,"Menantany Stream, bridge of RN-5 (yellow-finned form)",collection_record,present,Menantany Stream,stream,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,31m asl,
Bedotia longianalis,-16.950000,49.583333,MENATORY CREEK NEAR VILLAGE OF SAME NAME,collection_record,present,,stream,exact,1997,"P.V. LOISELLE, LOCAL RESIDENTS",GBIF: FishBase AMNH 229587,false,,
Bedotia longianalis,-16.916667,49.866667,"SOUTHERN MANANDRIANA RIVER, ca. 100-200 METERS UPSTREAM FROM MOUTH",collection_record,present,,stream,exact,1998,"K.H. BARNES, J.P. BENSTEAD",GBIF: FishBase AMNH 228059,false,,
Bedotia longianalis,-16.900000,49.916667,"MAROYAMPENY CREEK NEAR ANATIAFY VILLAGE, LARGE POOL",collection_record,present,,stream,exact,1998,"P.V. LOISELLE, A. SAUNDERS",GBIF: FishBase AMNH 229541,false,,
Bedotia longianalis,-16.883333,49.883333,"SAHAVAMBA RIVER, ca. 30 METERS UPSTREAM FROM ROAD CROSSING, 1 KILOMETER SOUTH OF LONKINTSY TOWN",collection_record,present,,stream,exact,1998,"K.H. BARNES, J.P. BENSTEAD",GBIF: FishBase AMNH 228060,false,,
Bedotia longianalis,-16.850000,49.916667,"MANANDNANA RIVER, ca. 500 METERS  NORTHEAST OF ANKIRIHISY VILLAGE",collection_record,present,,river,exact,1998,P.V. LOISELLE,GBIF: FishBase AMNH 229542,false,,
Bedotia longianalis,-16.850000,49.950000,"AMPOMESANA CREEK NEAR AMBOHIDENA VILLAGE, SMALL BROOK INTO LARGER CREEK",collection_record,present,,stream,exact,1998,"P.V. LOISELLE, A. SAUNDERS",GBIF: FishBase AMNH 229539,false,,
Bedotia longianalis,-16.816667,49.933333,"SMALL CREEK FLOWING INTO IAMPANA RIVER, ca. 500 METERS EAST OF VILLAGE OF AMBATOROA",collection_record,present,,stream,exact,,P.V. LOISELLE,GBIF: FishBase AMNH 229536,false,,
Bedotia longianalis,-16.733333,50.000000,LOWER REACHES OF TRIBUTARY OF ANDRANOBE RIVER AT AMBODIA TAFANA VILLAGE,collection_record,present,,river,exact,1998,P.V. LOISELLE,GBIF: FishBase AMNH 229538,false,,
Bedotia longianalis,-16.716667,50.016667,"ANDRANOMARTY CREEK, ca. 700 METERS NORTHEAST OF AMBODIA RAFANA VILLAGE",collection_record,present,,stream,exact,1998,P.V. LOISELLE,GBIF: FishBase AMNH 229537,false,,
Bedotia longianalis,-15.933333,49.916667,"AMBAHITSINONY CREEK, NEAR AMBAHITSINONY VILLAGE",collection_record,present,,stream,exact,1998,P.V. LOISELLE,GBIF: FishBase AMNH 229543,false,,
Bedotia madagascariensis,-21.366667,47.866667,"KINJOVATO, RIVER FOTOBOHITRA, STREAM THROUGH COFFEE PLANTATION",collection_record,present,,stream,exact,1988,"M.L.J. STIASSNY, P.N. REINTHAL",GBIF: FishBase AMNH 88073,false,,
Bedotia madagascariensis,-21.350000,47.750000,"RIVER VINTANONA AT VILLAGE ANDRANOMAITSO, SMALL STREAM",collection_record,present,,stream,exact,1988,"M.L.J. STIASSNY, P.N. REINTHAL",GBIF: FishBase AMNH 88014,false,,
Bedotia madagascariensis,-19.130000,49.910000,Andriana,collection_record,present,,,exact,,,GBIF:  RDR0093,false,,
Bedotia madagascariensis,-18.945528,48.844917,Access Rd 11 Colas,collection_record,present,,,exact,2007,J. Rall,GBIF: SAIAB 191304,false,,
Bedotia madagascariensis,-18.924890,48.767160,72+880,collection_record,present,,,exact,2007,J. Rall,GBIF: SAIAB 191387,false,,
Bedotia madagascariensis,-18.816667,49.033333,AVOLO RIVER ON N-2 WEST OF BRICKAVILLE BETWEEN KILOMETER 8 AND KILOMETER 7 MARKERS,collection_record,present,,river,exact,1997,"P.V. LOISELLE, LOCAL RESIDENTS",GBIF: FishBase AMNH 229592,false,,
Bedotia madagascariensis,-18.810000,48.980000,Sahafina,collection_record,present,,,exact,,,GBIF:  PSG329,false,,
Bedotia madagascariensis,-18.791530,48.879170,103+970,collection_record,present,,,exact,2007,J. Rall,GBIF: SAIAB 191359,false,,
Bedotia madagascariensis,-18.583720,49.071600,149+320,collection_record,present,,,exact,2007,J. Rall,GBIF: SAIAB 191368,false,,
Bedotia madagascariensis,-18.408490,49.154930,176+700,collection_record,present,,,exact,2007,J. Rall,GBIF: SAIAB 191309,false,,
Bedotia madagascariensis,-18.339260,49.208690,189+540,collection_record,present,,,exact,2007,J. Rall,GBIF: SAIAB 191506,false,,
Bedotia madagascariensis,-18.266667,49.266667,"IVONDRO RIVER, FANANDRANA VILLAGE ON N-5 BETWEEN TOAMASINA AND BRICKAVILLE",collection_record,present,,river,exact,1997,"P.V. LOISELLE, LOCAL RESIDENTS",GBIF: FishBase AMNH 229594,false,,
Bedotia madagascariensis,-18.050000,49.383333,"ANDROANTSIRIRY RIVER, SMALL STREAM TO THE IVOLOINA RIVER ca. 2 KILOMETERS NORTH OF BRIDGE ON TOAMASINA-FENOARIVO ROAD",collection_record,present,,stream,exact,1996,P.V. LOISELLE; LOCAL FISHERMEN,GBIF: FishBase AMNH 231435,false,,
Bedotia madagascariensis,-18.033333,49.333333,SAHAMELOKA CREEK AT VILLAGE OF THE SAME NAME ON THE SOUTH BANK OF THE IVOLOINA RIVER,collection_record,present,,stream,exact,1999,P.V. LOISELLE,GBIF: FishBase AMNH 231372,false,,
Bedotia madagascariensis,-18.016667,49.300000,AMBODIMOZINGA (ANTSIRIMANDROSO) CREEK AT THE VILLAGE OF SAME NAME ON THE SOUTH BANK OF THE IVOLOINA RIVER,collection_record,present,,stream,exact,1999,P.V. LOISELLE,GBIF: FishBase AMNH 231373,false,,
Bedotia madagascariensis,-17.166667,46.833333,"RAPIDS OF THE IKOPA RIVER, NORTHWEST OF ANTANIMBARY",collection_record,present,,river,exact,1997,"P.V. LOISELLE, LOCAL RESIDENTS",GBIF: FishBase AMNH 229578,false,,
Bedotia marojejy,-14.633333,49.716667,"SAMBAVA-ANDAPA REGION, ANTSAHABE CREEK, TRIBUTARY OF THE MANANTENINA RIVER AT SARAHANDRANO VILLAGE",collection_record,present,,stream,exact,1999,P.V. LOISELLE,GBIF: FishBase AMNH 231368,false,,
Bedotia marojejy,-14.500000,49.816667,"SAMBAVA-ANDAPA REGION, MANANTENINA RIVER, ca. 28 KILOMETERS NORTHEAST OF ANDAPA ON RN-3B",collection_record,present,,river,exact,1999,P.V. LOISELLE,GBIF: FishBase AMNH 231362,false,,
Bedotia marojejy,-14.497200,49.821400,"Manantenina River at village, Lokoho basin",collection_record,present,Manantenina River,river,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,41m asl,
Bedotia marojejy,-14.466670,49.816670,"Banks of the Manantenina R. (Lokoho R. basin) at the se. boundary of the PN de Marojejy, ca. 14°28'S, 49°49'E, some 28 km ne. of Andapa, ne. Madagascar.",collection_record,present,,,exact,,,GBIF: FishBase FB 2744809,false,,
Bedotia masoala,-15.309722,50.235556,"Ankavanana River (near Project Masoala site 1005), Masoala Peninsula",collection_record,present,,river,exact,1994,"JS Sparks, KJ Riseng & guides",GBIF: UMMZ 236578,false,,
Bedotia masoala,-15.303889,50.222222,Masoala Peninsula,collection_record,present,,,exact,1994,"guides;Riseng, K. J.;Sparks, J. S.",GBIF: ROM ROMI109600,false,,
Bedotia masoala,-15.303889,50.263056,"Ankavanana River, Masoala Peninsula",collection_record,present,,river,exact,1994,"JS Sparks, KJ Riseng",GBIF: UMMZ 236582,false,,
Bedotia masoala,-15.303056,50.269444,"small stream near Ankavanana River (near sta. 42), varaeal pools cut off from main river, Masoala Peninsula",collection_record,present,,stream,exact,1994,"JS Sparks, K Riseng",GBIF: UMMZ 236583,false,,
Bedotia masoala,-15.301111,50.278333,"Varzeal pools (small), cut off from Ankavanana River, (approx. 1 hr E of 94-43 camp), Masoala Peninsula",collection_record,present,,river,exact,1994,"JS Sparks, K Riseng",GBIF: UMMZ 236585,false,,
Bedotia masoala,-15.300000,50.216667,ANKAVANANA RIVER,collection_record,present,,river,exact,1994,"J.S. SPARKS, P.N. REINTHAL",GBIF: FishBase AMNH 229528,false,,
Bedotia masoala,-14.933333,50.250000,"SMALL UNNAMED CREEK, TRIBUTARY TO ANKAVIA RIVER AT ANDRAKARAKA VILLAGE",collection_record,present,,stream,exact,2000,"P.V. LOISELLE, LOCAL VILLAGERS",GBIF: FishBase AMNH 231241,false,,
Bedotia masoala,-14.872094,50.257844,"large unnamed, cascading river ca. .5 km E of camp on Ankavanana River, Masoala Peninsula",collection_record,present,,river,exact,,"JS Sparks, K Riseng",GBIF: UMMZ 236584,false,,
Bedotia masoala,-14.816667,50.116667,"UNNAMED BROOK, TRIBUTARY TO ANKAVANA RIVER AT AMPOHAFAMBIAVY VILLAGE",collection_record,present,,stream,exact,2000,"P.V. LOISELLE, LOCAL VILLAGERS",GBIF: FishBase AMNH 231242,false,,
Bedotia sp. 'ankavia-ankavanana',-14.935600,50.255300,Ankavia River tribs at Andrakaraka Village,collection_record,present,Ankavia River,stream,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,20m asl,
Bedotia sp. 'ankavia-ankavanana',-14.826700,50.110800,Ankavanana River tribs at Ampahafambiany Village,collection_record,present,Ankavanana River,stream,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,20m asl,
Bedotia sp. 'bemarivo',-14.226400,50.010000,"Nosivolo Creek at village, trib. to Bemarivo River",collection_record,present,Nosivolo Creek,stream,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,43m asl,
Bedotia sp. 'betampona',-17.956700,49.213900,"Marendranomasaya Creek, W of Ambodimanga Makoetsa (Betampona #2)",collection_record,present,Marendranomasaya Creek,stream,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,"59m asl, Ivoloina basin",
Bedotia sp. 'betampona',-17.942500,49.268900,"Santroko Stream, W of Ambodoriana Village (Betampona #1)",collection_record,present,Santroko Stream,stream,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,"80m asl, Ivoloina basin",
Bedotia sp. 'garassa',-23.377100,47.413900,Andrafia Stream near Ankarefo village,collection_record,present,Andrafia Stream,stream,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,60m asl,
Bedotia sp. 'lazana',-18.985000,48.612500,"Lazana River at Beforona, below bridge on RN-2",collection_record,present,Lazana River,river,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,"Sub-montane forest, Podostemaceae in rapids",
Bedotia sp. 'mahanara',-14.093300,50.086100,"Belandro Creek, 1.5km SE of Ambalava, Anjambaba trib.",collection_record,present,Belandro Creek,stream,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,11m asl,
Bedotia sp. 'manombo',-23.028000,47.732000,"Manombo Camp, Manombo Special Reserve",collection_record,present,,stream,exact,2004,D.R. Vieites,Vences et al. 2022,true,44m. 7 specimens barcoded.,
Bedotia sp. 'namorona',-21.354000,47.608000,"Road Ifanadiana-Tolongoina, km 5-7",collection_record,present,,stream,exact,2004,Vences team,Vences et al. 2022,false,468m. = Vences sp. Ranomafana,
Bedotia sp. 'namorona',-21.266400,47.457500,"Ambatoharana Stream, outskirts of Ranomafana",collection_record,present,Ambatoharana Stream,stream,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,475m asl,
Bedotia sp. 'nosivola',-22.809200,47.165000,Marosivy River at Vevembe (ARS-2/99/M),collection_record,present,Marosivy River,stream,exact,1999,A.R. Saunders,Saunders field report 1999,false,600m. Listed as B. sp. Vondrozo in field notes.,
Bedotia sp. 'nosivola',-20.065300,48.127500,"Rapids of Nosivolo River, 0.75km NW of Marolambo",collection_record,present,Nosivolo River,river,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,366m asl,
Bedotia sp. 'sambava',-14.306900,50.058300,"Unnamed brook, Ankatoka Stream trib., 4.5km S of Antsahoarana",collection_record,present,Ankatoka Stream,stream,exact,,P.V. Loiselle,Loiselle pers. comm. to Saunders,false,18m asl,
Bedotia tricolor,-22.133000,48.033000,"Trib. of Faraony River, Manakara Province (approx)",literature_record,present,Faraony River,river,approximate,,,Pellegrin 1932,false,Zero georeferenced records. Manakara centroid.,
Betancurichthys festinus,-15.833611,48.714447,Amboaboa River,collection_record,present,,river,exact,,,GBIF: UMMZ UMMZ 239806,true,,
Betancurichthys uncinatus,-14.883333,47.983333,"Lac Andrapongy, environs d'Antsohihy",type_locality,present,,lake,exact,,J.-C. Nourissat;Patrick De Rham,GBIF: MHNG MHNG-ICHT-2622.081,true,,
Betancurichthys uncinatus,-14.696944,48.131667,"Lake Andrapongy, North Basin",collection_record,present,,lake,exact,,"JS Sparks, K Riseng",GBIF: UMMZ 238058,true,,
Eleotris mauritiana,-23.417000,43.833000,maroamalona,collection_record,present,,,exact,1926,"petit;paris mnhn-pom, m.",GBIF: MNHN 2000-5012,false,,
Eleotris mauritiana,-21.083333,48.450000,"MANANJARY, ESTUARY OF RIVER MANANJARY, SIDE LAGOON BEHIND HOTEL JARDIN DE LA MER, ca. 100 METERS FROM SEA",collection_record,present,,lake,exact,1988,"M.L.J. STIASSNY, P.N. REINTHAL",GBIF: FishBase AMNH 88031,false,,
Eleotris mauritiana,-18.933000,49.117000,andevoranto,collection_record,present,,,exact,1960,kiener;therezien,GBIF: MNHN 1966-0961,false,,
Eleotris mauritiana,-18.166667,49.416667,"TOAMASINA (TAMATAVE) MAIN MARKETPLACE IN TOWN CENTER, CAUGHT NEARBY",collection_record,present,,,exact,1988,"LOCAL FISHERMEN/M. STIASSNY, P. REINTHAL",GBIF: FishBase AMNH 88110,false,,
Giuris margaritacea,-22.833000,47.833000,farafangana,collection_record,present,,,exact,1882,lautz,GBIF: MNHN A-4150,false,,
Giuris margaritacea,-16.920000,49.860000,"GBIF record at -16.920, 49.860",collection_record,present,,,exact,,,GBIF:  RDR0013,false,,
